X         ,Y         ,Z       ,ID 
  -0.14510803   0.09526053   0.30300345   0.15131324 
  -0.13883071   0.09624855   0.30300355   0.15304755 
  -0.13310098   0.09785515   0.30300365   0.15530128 
  -0.12770197   0.10004674   0.30300375   0.15822053 
  -0.12243335   0.10291323   0.30300384   0.16182908 
  -0.15732928   0.09551874   0.30299647   0.74476953 
  -0.16730574   0.09791451   0.30299656   0.79546746 
  -0.17449083   0.10102180   0.30299663   0.81117411 
  -0.18021124   0.10450242   0.30299667   0.81775033 
  -0.18494331   0.10823497   0.30299671   0.82080770 
  -0.18892206   0.11215953   0.30299674   0.82226639 
  -0.19228194   0.11624185   0.30299676   0.82294244 
  -0.17214827   0.09986723   0.30166972   0.14303000 
  -0.16078393   0.09611604   0.30166988   0.14808662 
  -0.15224093   0.09506398   0.30167001   0.14985749 
  -0.14510803   0.09526053   0.30167012   0.15131324 
  -0.13883071   0.09624855   0.30167022   0.15304755 
  -0.13310098   0.09785515   0.30167032   0.15530128 
  -0.12770197   0.10004674   0.30167041   0.15822053 
  -0.12243335   0.10291323   0.30167051   0.16182908 
  -0.15732928   0.09551874   0.30166314   0.74476953 
  -0.16730574   0.09791451   0.30166323   0.79546746 
  -0.17449083   0.10102180   0.30166329   0.81117411 
  -0.18021124   0.10450242   0.30166334   0.81775033 
  -0.18494331   0.10823497   0.30166338   0.82080770 
  -0.18892206   0.11215953   0.30166341   0.82226639 
  -0.19228194   0.11624185   0.30166343   0.82294244 
  -0.17214827   0.09986723   0.30033639   0.14303000 
  -0.16078393   0.09611604   0.30033655   0.14808662 
  -0.15224093   0.09506398   0.30033668   0.14985749 
  -0.14510803   0.09526053   0.30033679   0.15131324 
  -0.13883071   0.09624855   0.30033689   0.15304755 
  -0.13310098   0.09785515   0.30033698   0.15530128 
  -0.12770197   0.10004674   0.30033708   0.15822053 
  -0.12243335   0.10291324   0.30033717   0.16182908 
  -0.15732928   0.09551874   0.30032981   0.74476954 
  -0.16730574   0.09791451   0.30032990   0.79546746 
  -0.17449083   0.10102180   0.30032996   0.81117412 
  -0.18021125   0.10450242   0.30033001   0.81775033 
  -0.18494331   0.10823497   0.30033004   0.82080770 
  -0.18892206   0.11215953   0.30033007   0.82226639 
  -0.19228194   0.11624185   0.30033010   0.82294244 
  -0.17214827   0.09986723   0.29900306   0.14303000 
  -0.16078393   0.09611604   0.29900322   0.14808662 
  -0.15224093   0.09506398   0.29900334   0.14985749 
  -0.14510803   0.09526053   0.29900345   0.15131324 
  -0.13883071   0.09624855   0.29900355   0.15304755 
  -0.13310098   0.09785515   0.29900365   0.15530128 
  -0.12770197   0.10004674   0.29900375   0.15822053 
  -0.12243335   0.10291324   0.29900384   0.16182908 
  -0.15732929   0.09551874   0.29899647   0.74476954 
  -0.16730574   0.09791451   0.29899656   0.79546746 
  -0.17449083   0.10102180   0.29899663   0.81117412 
  -0.18021125   0.10450242   0.29899667   0.81775033 
  -0.18494331   0.10823497   0.29899671   0.82080770 
  -0.18892206   0.11215953   0.29899674   0.82226639 
  -0.19228194   0.11624185   0.29899676   0.82294244 
  -0.17214827   0.09986723   0.29766972   0.14303000 
  -0.16078393   0.09611604   0.29766988   0.14808662 
  -0.15224093   0.09506398   0.29767001   0.14985749 
  -0.14510803   0.09526053   0.29767012   0.15131324 
  -0.13883071   0.09624855   0.29767022   0.15304755 
  -0.13310098   0.09785515   0.29767032   0.15530128 
  -0.12770197   0.10004674   0.29767041   0.15822053 
  -0.12243335   0.10291324   0.29767051   0.16182908 
  -0.15732929   0.09551874   0.29766314   0.74476954 
  -0.16730574   0.09791451   0.29766323   0.79546746 
  -0.17449083   0.10102180   0.29766329   0.81117412 
  -0.18021125   0.10450242   0.29766334   0.81775033 
  -0.18494331   0.10823497   0.29766338   0.82080770 
  -0.18892206   0.11215953   0.29766341   0.82226639 
  -0.19228194   0.11624185   0.29766343   0.82294244 
  -0.17214827   0.09986723   0.29633639   0.14303000 
  -0.16078393   0.09611604   0.29633655   0.14808662 
  -0.15224093   0.09506398   0.29633668   0.14985749 
  -0.14510803   0.09526053   0.29633679   0.15131324 
  -0.13883071   0.09624855   0.29633689   0.15304755 
  -0.13310098   0.09785515   0.29633698   0.15530128 
  -0.12770197   0.10004674   0.29633708   0.15822053 
  -0.12243335   0.10291324   0.29633717   0.16182908 
  -0.15732929   0.09551874   0.29632981   0.74476954 
